2,men in hard hats are operating a giant pulley system .
1,men working on a machine wearing hard hats .
0,child in a pink dress is climbing up a set of stairs in an entry way .
0,little girl in a pink dress going into a wooden cabin .
0,in a blue shirt and hat is standing on stair and leaning against a window .
1,guy cooking and joking around with the camera .
2,young woman walks past two young people dressed in hip black outfits .
0,casually dressed guys jumping down a stairway outdoors with a stone wall behind them .
9,guys three wearing hats one not are jumping at the top of a staircase .
0,man in a neon green and orange uniform is driving on a green tractor .
0,man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
4,man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
4,man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
4,man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
4,man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
0,man in bright vest and hard hat holds a flag on a street corner covered in spray paint
0,man wearing a reflective vest and a hard hat holds a flag in the road
1,man with pierced ears is wearing glasses and an orange hat .
1,man with pierced ears is wearing glasses and an orange hat .
1,man with glasses is wearing a beer can crocheted hat .
1,man with gauges and glasses is wearing a Blitz hat .
1,man in an orange hat starring at something .
1,man in an orange hat starring at something .
1,man wears an orange hat and glasses .
1,man wears an orange hat and glasses .
3,person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .
2,in blue coat with white and brown hat standing in front of a painting .
9,man is sitting at a table with a drink .
9,man is sitting at a table with a beer .
0," white out " conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .
0," white out " conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .
2,men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .
0,tan man with a backwards hat looks at the camera while walking through a factory .
0,tan man with a backwards hat looks at the camera while walking through a factory .
1,man with a backwards hat works on machinery .
3,caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
0,little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
1,recently married couple pose for the camera .
1,with orange ball at feet , stands on shore shaking off water
1,white dog shakes on the edge of a beach with an orange ball .
2,group of people picnicking at picnic tables in front of a playground .
4,are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .
4,are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .
1,elderly woman is eating a burger while the man next to her touching his hat .
9,man with a balloon hat and people eating outdoors at picnic tables .
9,man with a balloon hat and people eating outdoors at picnic tables .
9,older women sit at a table with two coolers in front of them .
2,man in a suit is running past two other gentleman , also dressed in a suit .
0,man in a hat is displaying pictures next to a skier in a blue hat .
0,man in a hat is displaying pictures next to a skier in a blue hat .
1,woman wearing an orange leotard doing gymnastics in front of an audience .
3,man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .
9,sitting at a table at a restaurant with a glass of water .
9,boy in a green sweater is sitting at a table .
3,bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car .
0,couple in their wedding attire stand behind a table with a wedding cake and flowers .
1,band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .
1,man in an orange shirt sings for the crowd below a sign that says Lucky 13 .
0,little boy looks at the camera while a woman behind him seems to be laughing very hard and the woman on the right has a big smile on her face .
3,woman in a dark dress smiles while a woman across from her and a child sit in chairs .
2,men wearing hard hats are in a construction area .
2,men in orange vests work in road construction .
2,in orange vests work in a street .
3,in a green dress with a white top and red-hair singing in a room with a blue roof while band equipment is being prepared .
3,toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .
2,young child wearing a blue shirt and red hat grabs onto black bars in front of him .
2,boy in a red hat holding on to some railings .
0,is a skyscraper in the distance with a man walking in front of the camera .
3,woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .
2,dressed in brown African attire pushing a toddler in a stroller .
3,young child with a Band-Aid on his head sits eating at a small white table with a little girl eating off a yellow plate .
9,young blond-haired boy and a dark-haired girl are eating at a kid 's table .
9,children are sitting at a table eating food .
9,children eating at a small table .
1,boy eats his food outside at the table .
3,Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant .
3,woman in a white shirt is sitting at a table in a nice restaurant .
9,young woman sits at a dinner table with two entrees and a martini .
3,bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .
3,man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .
3,man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .
3,photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats .
3,photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats .
3,man photographs a woman in a pink dress and a throng of men in suits .
2,taking a photograph of a well dressed group of teens .
9,older man holds an object and is looking at two young girls that sit across from him at a table that is outside .
1,man and woman pose for the camera while another man looks on .
1,man in dress shirt plays the bassoon while reading sheet music from a stand
2,group of people wearing snowshoes , and dressed for winter hiking , is standing in front of a building that looks like it 's made of blocks of ice .
0,man wearing a hat and a white shirt is cleaning windows .
9,asian people are eating together around a table .
9,people are sitting at a table eating food .
0,man in a blue hat stands near a shovel in a deep hole .
2,little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .
1,African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .
1,African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .
1,African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads .
1,African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads .
1,member of an African tribe is watching the camera intently in tribal dress .
1,member of an African tribe is watching the camera intently in tribal dress .
1,samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .
2,man dressed in black doing karate in a green field .
6,hikers , one facing towards the camera and the others facing away from it , are walking through a rocky riverbed .
2,women in colorful dresses are sweeping water out of the street while a man watches .
0,young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house
3,little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background .
0,child in a dress runs through the yard with a miniature orange soccer ball in her hand .
0,child in a dress runs through the yard with a miniature orange soccer ball in her hand .
0,little girl stands in a backyard , holding a toy and looking into the camera .
0,man shaking the hand of a woman in an orange shirt sitting on a bench .
0,young girl in a orange shirt shaking a hand .
9,people sitting beside each other at a table with food on it smiling .
9,couple wearing white sweaters sit at a restaurant table .
9,man and woman seated at a table together .
1,well lit room , with three glasses on the table and two plates .
9,elegant food serving on table at a restaurant .
0,meal is on a table in a restaurant .
2,boys , one with a yellow and orange ball , play in some water in front of a field .
1,woman in the blue dress is holding out her arm at oncoming traffic .
4,man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .
4,man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .
1,wearing hard hats and safety vests are working .
0,worker wearing a hard hat watching a large machine dig a trench in the dry dirt .
0,man in blue overalls and a yellow hard hat is watching a huge machine work .
0,man in a hard hat is wearing a blue shirt and blue jean overalls .
2,man in a hard hat looks at some machinery .
0,man sitting down with this head resting on his fists next to a man with his eyes closed and his together with dough sitting on a table in front of them both .
6,boy smiles for the camera at a beach .
0,tired-looking men relax on a couch near a wooden trestle table with a coffee cup on it .
0,in a pink hat walking with a man in a gray sweater .
2,woman in a pink hat strolls along sidewalk .
9,group of people sit around a table outside on a porch at night .
9,group of eight people are gathered around a table at night .
9,group of people sitting at a table in a darkened room .
3,young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat .
3,young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat .
6,young boys are looking at the camera , one smiling , the other sticking his tongue out .
6,little boy sticks his tongue out for the camera . Another boy looks on .
6,young boys look up at the camera as one sticks out his tongue .
2,men shoveling snow off a railroad track dressed in bright orange snowsuits .
2,men shoveling snow off a railroad track dressed in bright orange snowsuits .
2,men in orange coveralls shovel snow off railroad tracks .
2,men in hats and orange uniforms are shoveling snow .
2,men in hats and orange uniforms are shoveling snow .
2,group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .
2,group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .
2,workers in orange vests are repairing tram rails , as onlookers stand by .
0,wearing a yellow hat , pink shirt , and red apron is holding food in a kitchen .
2,in pink shirt smiles for camera inside a restaurant kitchen .
2,in orange vests are laying train track down .
1,wearing orange vests working on a railroad .
1,woman with an orange and gray shirt is fixing something .
1,is working in an orange vest .
2,group of people are either standing or sitting , some are wearing hats and scarves , while some are not .
0,group of fourteen is assembled in a hall with dining tables and a stage .
3,young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
9,man working diligently while sitting at a table .
9,sitting using tool at a table in his home .
0,sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest .
2,woman dressed in light purple and wearing a corsage clasps her hands in her lap .
3,woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
1,girl in an orange tank top is walking her bike through the forrest .
3,woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
3,woman in a blue dress stands with a chalk portrait of two children playing by a stream .
4,man wearing an Illinois t-shirt is looking at a camera while a girl is aiming her foot at his face and another man is making an odd face in the background .
1,dog looking at the camera in snow .
0,man in a white shirt is outside leaning against a rail with hats hanging beside him .
0,man in a white t-shirt standing beside a rack of colorful hats .
0,young Asian boy sits on a railing behind a row of colorful hats
1,man is standing next to a rack with hats hanging on it .
1,young boy sits by an outdoor stand displaying hats .
0,young boy with his foot outstretched aims a toy at the camera in front of a fireplace .
2,little boy in orange shorts playing with a toy .
1,with toy gun pointed at the camera .
0,girl in a polka dotted blue jean dress walks barefoot on a balance beam .
0,girl in a jean dress is walking along a raised balance beam .
0,small girl in a dress blows bubbles in a grassy field .
1,people on ATVs in a brown field turn their heads to look at the camera .
2,person is riding an orange ATV in a large empty field .
3,person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
1,sisters hugging while visiting a Farm and looking into the camera .
5,are two men in orange life vests signaling to a cruise ship docking at a pier .
2,men in orange and blue safety gear stand on the dock guiding a boat inward .
2,men are riding on an elephant with a shack in the background and two of them are wearing hats .
1,boy in yellow glasses and red-haired girl pose for the camera .
9,man is eating alone at a table near another table where a man and woman are seated .
9,man is eating alone at a table near another table where a man and woman are seated .
9,are sitting at a table and eating beside a green and white wall .
1,dressed as Native Americans sit in the park with their school bags on the ground .
3,woman standing with 3 other people in a store with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case .
0,woman in a hat waits to be served at a store .
1,young girl is looking through an old fashioned video camera .
2,little girl is holding a cine camera in front of her face .
1,young girl steadies her aim with a camera
2,is a woman and man wearing orange shirts , playing instruments with sheet paper in front of them .
2,woman scantily dressed in handsome homemade-looking clothing sits on a wooden step and reads Brazilian author Coelho .
2,man dressed in a funky outfit is playing guitar .
0,store employee , dressed in a red apron & a baseball cap , sits on a ledge in front of the store .
2,in black hat teaching another man tennis on a fenced in tennis court .
0,kid wearing a Gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him .
0,kid wearing a Gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him .
0,woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face .
0,woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face .
1,child finishing an ice cream cone mugs for the camera .
0,boy in a Gap hat is making a silly face .
0,man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .
0,man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .
0,man wearing a hat and a small boy in a bathing suit playing in the sand .
0,person in a hat is playing with a boy on a beach .
9,man and two women are playing a board game at a wooden table while drinking alcohol .
9,people around a table playing a board game and drinking beer .
9,people are sitting around a table playing a game .
1,man with a hat walks along train tracks .
3,gu , wearing blue gloves and a brown vest , with a large camera pointed toward a Conquest trailer with a solar cell at his feet .
1,man under the black hood of a camera , standing close to vehicles and an RV .
9,man in red pants jumping on a park table .
1,dog with its mouth open running through a field torwards the camera .
0,man dressed in white walks a yellow rope on the ground that is attached to the handlebars of a bicycle .
1,with reflective safety jackets on are working on a street intersection with many orange reflective cones .
1,wearing orange safety vest are working on street repairs .
2,group of men in orange safety vests are working .
0,construction worker standing on the roof of a house wearing an orange vest with a yellow hard hat .
0,construction worker standing on the roof of a house wearing an orange vest with a yellow hard hat .
1,man wearing a yellow hat and orange shirt with palm trees around .
1,man wearing a yellow hat and orange shirt with palm trees around .
1,man in an orange vest standing atop a building .
6,young girl smiles for the camera while holding a large trophy .
0,little toddler dressed in white is smiling while a lady helps him wave a flag .
0,old man wearing slippers , navy blue pants and a white hat while reclining in a chair outside .
3,people , including a couple in a wedding dress and suit , are walking or standing around a building with lots of stairs .
2,woman in an orange top and black sweatpants jumps up with her arms out in front of the ocean on the beach .
2,woman in an orange shirt is taking part in physical activity on the beach .
2,woman and two girls dressed in pink .
0,girl wearing a colorful hat sits on a woven mat .
0,woman in a red hat sits on a rug .
6,young women pose for the camera at a parade .
2,child with large black coat , multicolored scarf , and knit hat standing in front of a window .
0,boy wearing a multicolored scarf and hat has a sad look on his face as he is looking down .
1,boy is dressed for cold weather .
1,waiting to enter a white building through an entry way with an orange handwritten sign to the left of it .
2,group of cheerleaders cheering on the street , dressed in red and white .
2,boy dressed in soccer attire and holding his shoes getting out of a car .
0,group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .
3,woman in a white and tan striped dress sits in the lap of a man with a tan collared shirt .
1,man and women are posing for the camera and looking very happy together .
0,smiling woman holds a person dressed in a pig costume .
0,little girl , with long blond-hair and wearing a dress , looking at her refection in a puddle .
0,young girl in a dress is looking at her reflection in a river bed .
2,little girl wearing a green dress is standing in front of puddle .
3,person wearing a short-sleeved light blue shirt over a long-sleeved white shirt and blue jeans is holding a long-lensed camera to his face while standing next to a red colored railroad car .
8,young man standing in front of a red freight car holding a camera and taking a photo .
1,photographing red railroad car with large camera lens .
1,with camera standing beside a train .
